Shipment_ID,Order_Date,Origin_City,Destination_City,Distance_KM,Weight_KG,Vehicle_Type,Product_Category,Weather,Fuel_Cost_INR,Promised_Days,Actual_Days,Delivery_Status,Distance_KM_Normalized,Weight_KG_Normalized,Fuel_Cost_INR_Normalized
SC10000,2025-04-13,Mumbai,Delhi,677.7,123.05,Van,Groceries,Clear,3678.65,3,5.0,Delayed,0.5777987799639145,0.12895879897102855,0.4163627574866716
SC10001,2025-12-15,Mumbai,Mumbai,150.3,510.25,Van,Furniture,Rain,1002.24,7,4.0,On-Time,0.12466706761749295,0.537173702188673,0.10043374563465621
SC10002,2025-09-28,Hyderabad,Hyderabad,765.3,889.77,Bike,Apparel,Rain,4399.86,5,7.0,Delayed,0.6530629779190652,0.9372917808796863,0.5014958882991375
SC10003,2025-04-17,Delhi,Delhi,304.5,293.28,Heavy Truck,Furniture,Clear,1363.64,4,3.0,On-Time,0.25715267634676525,0.3084278665710791,0.14309415449701973
SC10004,2025-03-13,Mumbai,Hyderabad,274.7,826.13,Bike,Groceries,Clear,2683.08,3,3.0,On-Time,0.23154910215654267,0.8701977818074474,0.29884360073209704
SC10005,2025-07-08,Bengaluru,Chennai,54.6,726.01,Mini Truck,Groceries,Clear,3932.65,4,2.0,On-Time,0.04244350889251655,0.7646438662337116,0.44634544661517284
SC10006,2025-01-21,Bengaluru,Chennai,391.5,235.8,Heavy Truck,Electronics,Clear,1740.79,2,5.0,Delayed,0.33190136609674376,0.24782819550457558,0.1876137261695167
SC10007,2025-04-13,Chennai,Chennai,91.7,35.01,Bike,Pharma,Clear,2397.02,3,1.0,On-Time,0.07431909957900165,0.03614051364230591,0.2650764824167464
SC10008,2025-05-02,Delhi,Hyderabad,202.6,97.2,Van,Pharma,Rain,4444.78,2,3.0,Delayed,0.1696021995016754,0.10170581537553242,0.5067983386757213
SC10009,2025-08-03,Mumbai,Delhi,257.0,692.2,Van,Furniture,Clear,5636.78,5,5.0,On-Time,0.21634161010396086,0.7289988613840511,0.6475045018299473
SC10010,2025-11-27,Bengaluru,Chennai,648.0,190.09,Bike,Apparel,Clear,3246.08,1,5.0,Delayed,0.5522811238078873,0.19963732973474466,0.36530129356416857
SC10011,2025-03-29,Chennai,Delhi,701.0,353.02,Bike,Apparel,Clear,208.33,6,5.0,On-Time,0.5978176819314375,0.3714101969383882,0.006718955374780667
SC10012,2025-04-10,Chennai,Hyderabad,245.5,476.86,Bike,Electronics,Clear,2130.01,7,2.0,On-Time,0.20646103617149242,0.5019714924303126,0.23355806578603341
SC10013,2025-12-26,Hyderabad,Delhi,687.7,689.33,Mini Truck,Groceries,Rain,2482.01,5,7.0,Delayed,0.5863905833834523,0.7259730949268335,0.275108879066476
SC10014,2025-06-01,Delhi,Hyderabad,686.5,108.01,Mini Truck,Electronics,Clear,2134.17,5,5.0,On-Time,0.5853595669731078,0.11310251760637625,0.234049120852075
SC10015,2025-05-11,Delhi,Hyderabad,612.9,386.34,Van,Pharma,Clear,2702.17,5,4.0,On-Time,0.5221238938053098,0.40653860751486526,0.30109702410006195
