Shipment_ID,Order_Date,Origin_City,Destination_City,Distance_KM,Weight_KG,Vehicle_Type,Product_Category,Weather,Fuel_Cost_INR,Promised_Days,Actual_Days,Delivery_Status
SC10000,2025-04-13,Mumbai,Delhi,677.7,123.05,Van,Groceries,Clear,3678.65,3,5.0,Delayed
SC10001,2025-12-15,Mumbai,Mumbai,150.3,510.25,Van,Furniture,Rain,1002.24,7,4.0,On-Time
SC10002,2025-09-28,Hyderabad,Hyderabad,765.3,889.77,Bike,Apparel,Rain,4399.86,5,7.0,Delayed
SC10003,2025-04-17,Delhi,Delhi,304.5,293.28,Heavy Truck,Furniture,Clear,1363.64,4,3.0,On-Time
SC10004,2025-03-13,Mumbai,Hyderabad,274.7,826.13,Bike,Groceries,Clear,2683.08,3,3.0,On-Time
SC10005,2025-07-08,Bengaluru,Chennai,54.6,726.01,Mini Truck,Groceries,Clear,3932.65,4,2.0,On-Time
SC10006,2025-01-21,Bengaluru,Chennai,391.5,235.8,Heavy Truck,Electronics,Clear,1740.79,2,5.0,Delayed
SC10007,2025-04-13,Chennai,Chennai,91.7,35.01,Bike,Pharma,Clear,2397.02,3,1.0,On-Time
SC10008,2025-05-02,Delhi,Hyderabad,202.6,97.2,Van,Pharma,Rain,4444.78,2,3.0,Delayed
SC10009,2025-08-03,Mumbai,Delhi,257.0,692.2,Van,Furniture,Clear,5636.78,5,5.0,On-Time
SC10010,2025-11-27,Bengaluru,Chennai,648.0,190.09,Bike,Apparel,Clear,3246.08,1,5.0,Delayed
SC10011,2025-03-29, chennai ,Delhi,701.0,353.02,Bike,Apparel,Clear,208.33,6,5.0,On-Time
SC10012,2025-04-10,Chennai,Hyderabad,245.5,476.86,Bike,Electronics,Clear,2130.01,7,2.0,On-Time
SC10013,2025-12-26,Hyderabad,Delhi,687.7,689.33,Mini Truck,Groceries,Rain,2482.01,5,7.0,Delayed
SC10014,2025-06-01,Delhi,Hyderabad,686.5,108.01,Mini Truck,Electronics,Clear,2134.17,5,5.0,On-Time
SC10015,2025-05-11,Delhi,Hyderabad,612.9,386.34,Van,Pharma,Clear,2702.17,5,4.0,On-Time
SC10016,2025-05-30,Hyderabad,Mumbai,121.6,461.08,Mini Truck,Groceries,Storm,3851.1,3,4.0,Delayed
SC10017,2025-11-05,Delhi,Hyderabad,553.8,514.02,Mini Truck,Electronics,Clear,858.6,2,4.0,Delayed
SC10018,2025-09-15,Chennai,Hyderabad,756.3,777.53,Heavy Truck,Furniture,Clear,1744.89,6,4.0,On-Time
SC10019,2025-12-10,Chennai,Bengaluru,547.6,163.51,Mini Truck,Pharma,Clear,3119.74,3,3.0,On-Time
SC10020,2025-10-21,Hyderabad,Chennai,268.6,767.54,Heavy Truck,Apparel,Storm,1996.1,1,5.0,Delayed
SC10021,2025-07-11,Mumbai,Mumbai,403.0,658.39,Mini Truck,Electronics,Storm,5947.85,7,6.0,On-Time
SC10022,2025-10-04,Bengaluru,Mumbai,518.4,528.3,Van,Pharma,Clear,2673.87,7,4.0,On-Time
SC10023,2025-06-10,Mumbai,Mumbai,410.9,664.7,Bike,Pharma,Clear,5238.33,6,5.0,On-Time
SC10024,2025-11-10,Delhi,Bengaluru,100.4,391.71,Van,Apparel,Fog,5394.58,7,4.0,On-Time
SC10025,2025-01-22,Bengaluru,Hyderabad,253.1,131.91,Mini Truck,Apparel,Clear,5040.64,7,2.0,On-Time
SC10026,2025-09-10,Hyderabad,Chennai,642.9,632.64,Bike,Apparel,Clear,424.35,5,5.0,On-Time
SC10027,2025-08-24,Hyderabad,Delhi,689.8,498.68,Bike,Electronics,Rain,5694.32,4,6.0,Delayed
SC10028,2025-12-11,Bengaluru,Hyderabad,114.2,607.59,Bike,Apparel,Clear,903.14,1,2.0,Delayed
SC10029,2025-02-18,Chennai,Bengaluru,762.1,321.43,Heavy Truck,Furniture,Clear,351.26,2,5.0,Delayed
SC10030,2025-02-28,Bengaluru,Hyderabad,266.4,861.57,Van,Pharma,Rain,2574.06,1,4.0,Delayed
SC10031,2025-06-19,Delhi,Hyderabad,531.5,558.21,Heavy Truck,Apparel,Clear,1288.61,3,5.0,Delayed
SC10032,2025-07-07,Chennai,Bengaluru,602.7,81.59,Bike,Pharma,Clear,1227.55,7,5.0,On-Time
SC10033,2025-09-28,Hyderabad,Mumbai,650.5,427.59,Van,Groceries,Clear,1833.74,4,6.0,Delayed
SC10034,2025-07-09,Bengaluru,Mumbai,756.9,718.66,Van,Groceries,Clear,1603.17,3,6.0,Delayed
SC10035,2025-06-24,Mumbai,Chennai,253.8,754.53,Mini Truck,Apparel,Clear,4156.05,6,4.0,On-Time
SC10036,2025-02-20,Mumbai,Chennai,687.5,470.12,Heavy Truck,Pharma,Clear,1242.65,5,6.0,Delayed
SC10037,2025-12-30,Delhi,Mumbai,109.7,850.06,Heavy Truck,Groceries,Rain,3327.24,7,3.0,On-Time
SC10038,2025-02-24,Mumbai,Delhi,565.5,254.65,Mini Truck,Apparel,Fog,5920.6,5,7.0,Delayed
SC10039,2025-09-01,Bengaluru,Hyderabad,594.9,390.36,Heavy Truck,Pharma,Clear,2679.44,1,5.0,Delayed
SC10040,2025-11-16,Bengaluru,Delhi,543.8,853.72,Bike,Apparel,Rain,3904.96,5,7.0,Delayed
SC10041,2025-05-11,Mumbai,Hyderabad,205.6,851.5,Bike,Pharma,Rain,5820.82,5,3.0,On-Time
SC10042,2025-11-03,Bengaluru,Mumbai,699.1,651.58,Heavy Truck,Groceries,Rain,955.19,6,6.0,On-Time
SC10043,2025-05-15,Delhi,Chennai,139.2,816.1,Mini Truck,Apparel,Clear,2598.85,2,2.0,On-Time
SC10044,2025-01-21,Chennai,Chennai,47.6,84.79,Van,Groceries,Fog,5123.63,2,3.0,Delayed
SC10045,2025-11-25,Delhi,Delhi,575.4,821.81,Heavy Truck,Apparel,Clear,5603.99,3,6.0,Delayed
SC10046,2025-06-16,Delhi,Chennai,383.0,304.93,Van,Electronics,Clear,3667.23,7,3.0,On-Time
SC10047,2025-10-01,Bengaluru,Mumbai,680.0,169.83,Mini Truck,Groceries,Clear,989.01,3,6.0,Delayed
SC10048,2025-03-30,Chennai,Delhi,309.8,227.78,Van,Groceries,Rain,5423.61,2,3.0,Delayed
SC10049,2025-11-12, chennai ,Hyderabad,138.8,397.36,Mini Truck,Furniture,Clear,1170.51,1,3.0,Delayed
SC10050,2025-01-14,Hyderabad,Chennai,670.0,239.01,Mini Truck,Groceries,Clear,2214.34,2,4.0,Delayed
SC10051,2025-08-30,Bengaluru,Bengaluru,441.4,304.88,Bike,Pharma,Rain,2346.72,3,5.0,Delayed
SC10052,2025-09-22,Bengaluru,Chennai,155.4,128.66,Bike,Apparel,Fog,2766.66,4,4.0,On-Time
SC10053,2025-12-12,Bengaluru,Hyderabad,577.7,281.72,Mini Truck,Electronics,Rain,4772.47,7,6.0,On-Time
SC10054,2025-02-22,Chennai,Delhi,411.3,543.88,Heavy Truck,Pharma,Clear,4842.54,5,3.0,On-Time
SC10055,2025-12-06,Bengaluru,Hyderabad,485.4,420.04,Bike,Pharma,Clear,4359.98,6,4.0,On-Time
SC10056,2025-04-02,Chennai,Bengaluru,,,Mini Truck,Pharma,,,4,5.0,Delayed
SC10057,2025-09-21,Mumbai,Mumbai,663.8,709.26,Van,Pharma,Clear,3454.34,4,6.0,Delayed
SC10058,2025-02-04,Hyderabad,Chennai,664.5,848.89,Van,Electronics,Rain,4522.83,5,7.0,Delayed
SC10059,2025-07-25,Chennai,Delhi,569.0,719.07,Heavy Truck,Furniture,Clear,2751.06,2,6.0,Delayed
SC10060,2025-03-22,Mumbai,Mumbai,88.8,315.73,Van,Groceries,Fog,5677.88,7,2.0,On-Time
SC10061,2025-02-19,Chennai,Hyderabad,671.9,707.35,Van,Pharma,Clear,4969.29,1,5.0,Delayed
SC10062,2025-12-26,Chennai,Delhi,538.5,144.81,Mini Truck,Groceries,Clear,3883.21,4,4.0,On-Time
SC10063,2025-01-02,Hyderabad,Mumbai,559.1,124.24,Van,Groceries,Fog,515.19,1,5.0,Delayed
SC10064,2025-02-23,Delhi,Delhi,293.6,328.67,Van,Pharma,Clear,3966.23,6,3.0,On-Time
SC10065,2025-04-16,Delhi,Bengaluru,704.0,767.41,Van,Furniture,Clear,5482.74,6,6.0,On-Time
SC10066,2025-09-17,Chennai,Bengaluru,581.7,234.41,Van,Groceries,Rain,2369.76,6,6.0,On-Time
SC10067,2025-11-06,Bengaluru,Chennai,94.5,60.56,Mini Truck,Apparel,Clear,5053.08,3,1.0,On-Time
SC10068,2025-07-10,Mumbai,Chennai,329.2,125.56,Van,Groceries,Clear,1981.99,4,2.0,On-Time
SC10069,2025-08-06,Bengaluru,Bengaluru,709.7,815.88,Heavy Truck,Pharma,Clear,3485.1,6,6.0,On-Time
SC10070,2025-02-13,Bengaluru,Delhi,42.5,602.28,Bike,Electronics,Clear,3943.28,3,2.0,On-Time
SC10071,2025-06-11,Chennai,Bengaluru,769.3,240.91,Heavy Truck,Groceries,Clear,4116.27,6,6.0,On-Time
SC10072,2025-07-21,Chennai,Chennai,544.9,527.75,Bike,Furniture,Rain,5312.91,2,5.0,Delayed
SC10073,2025-09-27,Chennai,Bengaluru,506.9,501.44,Heavy Truck,Apparel,Rain,1522.54,4,5.0,Delayed
SC10074,2025-12-17,Chennai,Bengaluru,220.1,622.84,Bike,Apparel,Clear,1684.86,3,2.0,On-Time
SC10075,2025-10-31,Delhi,Delhi,202.8,221.91,Bike,Electronics,Clear,4268.64,6,3.0,On-Time
SC10076,2025-09-28, chennai ,Mumbai,753.9,821.25,Bike,Electronics,Fog,1186.58,7,7.0,On-Time
SC10077,2025-08-03,Delhi,Chennai,242.1,294.25,Bike,Groceries,Storm,2865.98,3,4.0,Delayed
SC10078,2025-09-09,Delhi,Delhi,621.5,659.58,Mini Truck,Pharma,Clear,267.2,6,6.0,On-Time
SC10079,2025-07-09,Chennai,Bengaluru,317.5,15.81,Heavy Truck,Furniture,Rain,974.73,2,3.0,Delayed
SC10080,2025-10-23,Hyderabad,Bengaluru,115.7,354.34,Bike,Apparel,Rain,4121.25,1,2.0,Delayed
SC10081,2025-08-01,Mumbai,Mumbai,13.5,334.45,Heavy Truck,Electronics,Clear,4522.65,6,1.0,On-Time
SC10082,2025-07-27,Bengaluru,Chennai,437.7,516.54,Van,Furniture,Clear,824.62,1,3.0,Delayed
SC10083,2025-08-25,Delhi,Chennai,780.7,69.56,Bike,Pharma,Clear,1482.1,4,6.0,Delayed
SC10084,2025-12-04,Mumbai,Hyderabad,298.5,750.73,Heavy Truck,Apparel,Rain,728.59,2,5.0,Delayed
SC10085,2025-02-22,Hyderabad,Chennai,289.0,207.28,Mini Truck,Apparel,Rain,2685.47,7,3.0,On-Time
SC10086,2025-10-07,Bengaluru,Mumbai,278.6,643.35,Heavy Truck,Pharma,Rain,887.78,4,4.0,On-Time
SC10087,2025-08-05,Bengaluru,Hyderabad,418.8,763.15,Bike,Apparel,Clear,2708.18,7,3.0,On-Time
SC10088,2025-09-09,Delhi,Hyderabad,355.3,534.0,Van,Pharma,Rain,4432.77,1,3.0,Delayed
SC10089,2025-07-07,Chennai,Bengaluru,704.5,703.97,Heavy Truck,Apparel,Rain,4147.82,2,7.0,Delayed
SC10090,2025-02-10,Hyderabad,Bengaluru,406.9,628.94,Van,Groceries,Fog,1790.69,5,4.0,On-Time
SC10091,2025-06-06,Delhi,Chennai,408.7,338.08,Mini Truck,Pharma,Clear,4091.51,2,3.0,Delayed
SC10092,2025-01-15,Hyderabad,Hyderabad,115.0,768.51,Heavy Truck,Furniture,Rain,5577.12,2,3.0,Delayed
SC10093,2025-10-28,Chennai,Bengaluru,786.3,280.32,Heavy Truck,Groceries,Clear,2183.02,7,6.0,On-Time
SC10094,2025-03-06,Chennai,Mumbai,203.7,542.87,Mini Truck,Furniture,Rain,2075.35,5,4.0,On-Time
SC10095,2025-12-11,Delhi,Bengaluru,63.3,708.26,Mini Truck,Apparel,Rain,3492.92,3,3.0,On-Time
SC10096,2025-11-23,Chennai,Bengaluru,532.2,360.32,Mini Truck,Furniture,Clear,1586.19,3,4.0,Delayed
SC10097,2025-01-09,Mumbai,Hyderabad,478.3,287.98,Bike,Groceries,Rain,3961.74,3,4.0,Delayed
SC10098,2025-12-10,Bengaluru,Hyderabad,335.0,436.65,Bike,Pharma,Clear,5018.73,1,3.0,Delayed
SC10099,2025-05-09,Delhi,Delhi,340.6,777.16,Heavy Truck,Electronics,Rain,2837.01,2,4.0,Delayed
SC10100,2025-05-16,Hyderabad,Mumbai,629.1,883.46,Heavy Truck,Furniture,Clear,4125.12,6,4.0,On-Time
SC10101,2025-03-04,Mumbai,Hyderabad,160.6,518.06,Heavy Truck,Electronics,Rain,3963.53,5,3.0,On-Time
SC10102,2025-05-19,Delhi,Chennai,657.1,628.56,Van,Furniture,Fog,376.19,6,6.0,On-Time
